course_title,avg_rating,review_count,reviews_per_student,reviews_per_hour,recent_reviews_density
Generative AI 2025 Executive Briefing: LLMs for Leaders,4.844186046511628,215,0.042214804633811116,71.66666666666667,15.0
The Product Management for AI & Data Science Course,4.366506794564349,1251,0.032220676866017615,312.75,5.5
Introduction to Data Engineering using Generative AI,4.622448979591836,98,0.025755584756898816,16.333333333333332,0.8333333333333334
AI Agents: Building Teams of LLM Agents that Work For You,4.488795518207283,357,0.024383580356533024,39.666666666666664,11.666666666666666
AI-Agents: Automation & Business with LangChain & LLM Apps,4.559730250481696,519,0.0213501172405282,51.9,1.0
AI Automation: Build LLM Apps & AI-Agents with n8n & APIs,4.722972972972973,814,0.02123995407577497,58.142857142857146,5.285714285714286
"n8n - AI Agents, AI Automations & AI Voice Agents (No-code!)",4.533653846153846,312,0.020775069916100678,5.672727272727273,0.9636363636363636
AI Agents & Workflows - The Practical Guide,4.640350877192983,171,0.01694579328114161,42.75,9.25
"Complete Data Science,Machine Learning,DL,NLP Bootcamp",4.525386313465783,1812,0.01693347164204211,18.303030303030305,0.8686868686868687
Data Science & AI Masters 2025 - From Python To Gen AI,4.72972972972973,296,0.0168363574313179,3.020408163265306,0.5306122448979592
